"QUESTION, CHOICES, ANSWER","TAGALOG"
"a","Please Translate the word ""STARS"" in Tagalog","Please Translate the word ""SCHOOL"" in Tagalog","Please Translate the word ""HOUSE"" in Tagalog"
"b","[A] Maneho || [B] Bituin || [C] Paaralan || [D] Bahay","[A] Maneho || [B] Bituin || [C] Paaralan || [D] Bahay","[A] Maneho || [B] Bituin || [C] Paaralan || [D] Bahay"
"C","B","C","D"
"We can stay in my _______ but it's too far.","In what ____ are you planning to apply in college?","I still don't know how to ___ that's why I just commute every dismissal.","What a beautiful night, the ____  are shining bright."
"[A] Bahay || [B] Paaralan || [C] Dagat || [D] Kulungan","[A] Bilibid || [B] Paaralan || [C] Puno || [D] Bahay","[A] Sasakyan || [B] Labasan || [C] Maneho || [D] Kalimutan","[A] Ulap || [B] Lobo || [C] Tsinelas || [D] Bituin"
"A","B","C","D"
"Please type the word ""DRIVE"" in Tagalog","Please type the word ""STARS"" in Tagalog","Please type the word ""SCHOOL"" in Tagalog","Please type the word ""HOUSE"" in Tagalog"""
" "," "," "," "
"MANEHO","BITUIN","PAARALAN","BAHAY"
" "
"QUESTION, CHOICES, ANSWER","CHINESE"
"Please Translate the word ""ME"" in Chinese","Please Translate the word ""YOU"" in Chinese","Please Translate the word ""THEY"" in Chinese","Please Translate the word ""HE / HER / IT"" in Chinese"""
"[A] Wo [3] || [B] Ni [3] || [C] Ta [1] || [D] Ta [1] men [3]","[A] Wo [3] || [B] Ni [3] || [C] Ta [1] || [D] Ta [1] men [3]","[A] Wo [3] || [B] Ni [3] || [C] Ta [1] || [D] Ta [1] men [3]","[A] Wo [3] || [B] Ni [3] || [C] Ta [1] || [D] Ta [1] men [3]"
"A","B","C","D"
"wo xi huan _ shui.","wo you gou _ mao.","ge ge xi huan de _ mei mei.","pa pa _ ma ma."
"[A] he [1] || [B] han [4] || [C] wan [3] || [D] ai [4]","[A] he [1] || [B] han [4] || [C] wan [3] || [D] ai [4]","[A] he [1] || [B] han [4] || [C] wan [3] || [D] ai [4]","[A] he [1] || [B] han [4] || [C] wan [3] || [D] ai [4]"
"A","B","C","D"
"Please Translate 'wo  xi huan chi rou.' in english","Please Translate 'ni jiao she me ming zi?' in english","Please Translate 'ni ji nian she shei?' in english","Please Translate 'ni zai na li du shu?' in english"
" "," "," "," "
"I LIKE TO EAT MEAT","WHAT IS YOUR NAME","HOW OLD ARE YOU","WHERE DO YOU STUDY"
